== 0 ==
"001"	{Blue}If might is supposed to make right,	then what makes left, maaan?{Color Reset}
"209"	{Blue}¿Una {000e-0006-001a-0c-00-63-00-61-00-6d-00-69-00-73-00-61-00-0a-00-62-00-6c-00-75-00-73-00-61-00} blanca para comer	espaguetis con tomate? ¡La tragedia	se masca en el ambiente, primate!{Color Reset}
"210"	{Blue}¿Por qué los enseres tienen forma	de hoja hasta que los dejas en casa?	¡Desafía las leyes de la realidad!{Color Reset}
"211"	{Blue}Dicen que el cielo en realidad no es	azul, que es imaginación nuestra.{0000-0004-0000}
"212"	{Blue}No saber nadar no es tan grave,	primate. ¡Lo preocupante es no	saber FLOTAR!{Color Reset}
"213"	{Blue}Algunos primates creen que el	gazpacho no es más que zumo	de tomate.	¡Menudo disparate! ¡Es como decir	que la horchata es leche con azúcar!{Color Reset}
"214"	{Blue}El guepardo es el animal terrestre	más veloz. ¡Seguro que hay gato	encerrado y que hace trampas!{Color Reset}
"215"	{Blue}Un primo tercero mío se marea	siempre que viaja en barco.{0000-0004-0000}
"216"	{Blue}¿Y si los tiburones no quieren	merendarse a los buceadores	que graban dentro de las jaulas?	¿Y si solo quieren liberarlos? ¡{Color Reset}{Blue}Los	primates sois unos mal pensados!{Color Reset}
"217"	{Blue}Dicen que de noche todos los gatos	son pardos. ¿Cómo lo saben si no	hay luz?	¡Le voy a preguntar a Blanca a ver	si es verdad!{Color Reset}
"218"	{Blue}La ballena es la campeona olímpica	de estornudos. ¡Como te pille, te	manda a la otra punta del océano!{Color Reset}
"219"	{Blue}¿Y si los dinosaurios nunca se	extinguieron y en realidad no eran	más que esqueletos andantes?{Color Reset}
"220"	{Blue}Esto que llevo puesto no es un	gorro, sino unos pantalones para la	cabeza. ¡Que no te enteras, primate!{Color Reset}
"221"	{Blue}Todos necesitamos bañarnos	con regularidad para ir aseados.	¡Las aves no son una excepción!{Color Reset}
"222"	{Blue}He descubierto un postre que	desafía las leyes de la física:	¡la leche frita!{0000-0004-0000}!
"223"	{Blue}Si tuviera mil millones de bayas,	sería... ¡bayonario!{Color Reset}
"224"	{Blue}¿Y si los conceptos de marea alta y	baja son erróneos? ¿Y si el terreno	es el que asciende y desciende?{Color Reset}
"225"	{Blue}¿Qué pasaría si viajaras atrás en el	tiempo y te dieras un coscorrón a	ti mism{000e-0006-0008-02-00-6f-00-02-00-61-00}?	Aunque, ahora que lo pienso,	¿para qué querrías hacer eso?{Color Reset}
"226"	{Blue}El corazón guía nuestros pasos,	primate. ¡El mío siempre me lleva	hasta un montón de vieiras!{Color Reset}
"227"	{Blue}Salta a la vista que las nutrias	somos unos animales adorables,	primate. No trates de cuestionarlo.{Color Reset}
"228"	{Blue}¿A qué esperan para inventar el	chicle con sabor a berberecho?	¡Arrasaría entre las nutrias!{Color Reset}
"229"	{Blue}Todo se paga en esta vida, primate.	A menos que sea un regalo, pero eso	no cuenta, ¿verdad?{Color Reset}
"230"	{Blue}¿Alguna vez has leído un libro en	formato digital con una tableta?	¡Es una gozada!	Una pena que los trastos esos se	estropeen bajo el agua, primate...{Color Reset}
"231"	{Blue}¿Por qué tienen tan mala uva las	abejas? ¡Suerte que no saben nadar!{Color Reset}
"232"	{Blue}¿Qué hacen cuando meten a una	cebra en prisión? ¿Le ponen un	traje de reo o la dejan desnuda?{Color Reset}
"233"	{Blue}La semana pasada me acerqué a una	tienda de bromas y compré un cojín	de esos que hacen ruido al sentarse.	¡Han sido las bayas mejor invertidas	de toda mi vida, primate!{Color Reset}
"234"	{Blue}La vida es como un mejillón gigante,	primate. O eso quisiera yo...{Color Reset}
"235"	{Blue}Un consejo: si vives bajo el agua, no	añadas electrodomésticos a tu lista	de bodas, primate.	¿Dónde los ibas a enchufar?{Color Reset}
"236"	{Blue}¿Por qué los peces tienen la mala	fama de que apestan? Se pasan la	vida bajo el agua.	¡Ya me dirás tú qué animal puede	ser más aseado!{Color Reset}
"237"	{Blue}La calidad siempre prima sobre la	cantidad... ¡salvo cuando hay bufé,	que me pongo ciego de comida!{Color Reset}
"238"	{Blue}Un verdadero héroe nunca alardea	de serlo.{Color Reset}
"239"	{Blue}¿Quién inventó los verbos	irregulares? Estos primates...	¡Siempre complicándolo todo!{Color Reset}
"240"	{Blue}Algunos bichos brillan en	la oscuridad. ¿Cómo lo hacen?	¿Se untan de pintura fosforescente?{Color Reset}
"241"	{Blue}Hace un año aprendí a coser, pero	nunca tengo nada que remendar.	¡Estoy tentado a rasgar una prenda!{Color Reset}
"242"	{Blue}He probado en vano a hacer una	montaña de un grano de arena.{0000-0004-0000}
"243"	{Blue}Qué pasada: la nariz de los	peces espada es... ¡una espada!	¿Alguno habrá sido mosquetero?{Color Reset}
"244"	{Blue}Qué suerte tienen algunos primates	de poder dejarse barba. ¡Yo me he	tenido que comprar una postiza!{Color Reset}
"245"	{Blue}Dicen que los elefantes no olvidan	nunca. ¡Mentira cochina, primate!{0000-0004-0000}
"246"	{Blue}Ir por libre no significa	necesariamente que tengas que	estar sol{000e-0006-0008-02-00-6f-00-02-00-61-00}. Que no se te olvide.{Color Reset}
"247"	{Blue}Los sentimientos se expresan y se	comparten, primate. Reprimirlos	nunca es bueno.{Color Reset}
"248"	{Blue}Procura vivir tu propia vida	y no la de los demás, primate.{Color Reset}
"249"	{Blue}En la vida hay que ser robusto	como la concha de una vieira,	primate.	{Color Reset}{Blue}Hablando de vieiras, ahora me	tomaría unas al limón de aperitivo...{Color Reset}
"250"	{Blue}Querer es poder. Que nadie te diga	lo contrario.{Color Reset}
"251"	{Blue}Que alguien hable mucho no	significa que tenga algo que decir.	¡A veces es solo una cotorra!{Color Reset}
"252"	{Blue}Hasta las piezas más pequeñas son	importantes. Si quitas un engranaje	de una máquina, te la cargas fijo.{Color Reset}
"253"	{Blue}Las tendencias pasan de moda	en un abrir y cerrar de ojos.	¡Lo que cansa ir siempre a la última!{Color Reset}
"254"	{Blue}Da igual lo grande que sea uno.	Vistos desde lejos, todos	parecemos hormigas, primate.{Color Reset}
"255"	{Blue}La mejor manera de demostrar tu	amor por alguien es cediéndole la	última vieira del plato, primate.{Color Reset}
"256"	{Blue}¿A quién se le ocurrió la idea de	aprovechar las vacaciones para	estudiar o repasar?	Eso de vacaciones no tiene nada;	¡son deberes encubiertos!{Color Reset}
"257"	{Blue}Dicen que toda publicidad es buena,	incluida la mala. ¡Lo que importa es	estar en boca de todos, primate!{Color Reset}
"258"	{Blue}Hacer llorar a alguien es fácil.	¡Lo difícil es hacerle reír después!{Color Reset}
"259"	{Blue}Cuando crecen, algunos niños	sabelotodo acaban convirtiéndose	en adultos ignorantes.{Color Reset}
"260"	{Blue}Para cambiar el mundo, el cambio	debe comenzar por uno mismo.{0000-0004-0000}
"261"	{Blue}La gente que marca tendencia lo	hace por puro accidente, primate.	¡La fortuna les sonríe!{Color Reset}
== 2 ==
"001"	{Blue}Maaan, si la force fait loi, les faibles	deviennent quoi? Des hors-la-loi?{Color Reset}
"002"	{Blue}Quand tu es le seul type normal d'un	groupe d'originaux, est-ce que ça	fait de toi l'original de la bande?{Color Reset}
"003"	{Blue}Les secrets c'est comme les	cicatrices, tout le monde en a, et si	t'en as pas... t'es rasoir, maaan!{Color Reset}
"004"	{Blue}Si on dit « qui dort dîne »,	l'hibernation vaut-elle un festin?{Color Reset}
"005"	{Blue}Est-ce que plus un chanteur passe à	la radio, plus il devient radioactif?{Color Reset}
"006"	{Blue}Il suffit de dire à un gamin qu'une	chose est impossible pour qu'il	s'efforce de te prouver le contraire.{Color Reset}
"007"	{Blue}D'où il sort le bois qu'on trouve sur	les plages? Et pourquoi on appelle	ça du bois flotté?{Color Reset}{0000-0004-0000}
"008"	{Blue}Le comble de la fainéantise, c'est	pas d'avoir trop la flemme de	remettre les choses à plus tard?{Color Reset}
"009"	{Blue}Si la terre est ronde, où sont les	quatre coins du monde?{Color Reset}
"010"	{Blue}L'amour, c'est comme un cookie :	c'est délicieux, mais quand il est	brisé, il tombe en miettes.{Color Reset}
"011"	{Blue}Pourquoi on dit « c'est louche »,	mais jamais « c'est cuiller » ou	« c'est fourchette »?{Color Reset}
"012"	{Blue}Si les pizzas sont rondes, et les	poêles sont rondes, pourquoi ne	cuit-on pas les pizzas à la poêle?{Color Reset}
"013"	{Blue}Si tu n'es pas de taille à gravir des	montagnes, attaque-toi plutôt à des	collines... ou des tas de sable!{Color Reset}
"014"	{Blue}Si l'argent était gratuit, la vie serait	tellement plus simple, maaan!{Color Reset}
"015"	{Blue}Si tu rêves que tu lis un livre,	quelqu'un te réveillera sûrement	juste avant la fin!{Color Reset}
"016"	{Blue}Pourquoi on ne fait pas porter des	chaussures aux chiens, maaan? Eux	aussi ont les papattes sensibles!{Color Reset}
"017"	{Blue}Si les plaisirs simples sont toujours	les meilleurs, alors pourquoi dit-on	qu'on aime se compliquer la vie?{Color Reset}
"018"	{Blue}Qui a décidé qu'il y avait sept mers	alors qu'elles sont toutes	connectées? C'est fou, ça!{Color Reset}
"019"	{Blue}Pourquoi on dessine les étoiles avec	des branches? Les vraies étoiles	sont RONDES, quoi!{Color Reset}
"020"	{Blue}Maaan, pourquoi certaines	personnes ne veulent pas aller	à la piscine quand il pleut?{Color Reset}
"021"	{Blue}C'est facile de prédire le score	en début de match. C'est toujours	zéro à zéro, quoi!{Color Reset}
"022"	{Blue}Les héros ne sont pas toujours ceux	qui ignorent le danger, mais plutôt	ceux qui t'empêchent de les imiter.{Color Reset}
"023"	{Blue}Le pain qui ne cuit pas pour toi,	laisse-le brûler. Peut-être que	l'autre l'aime super croustillant...{Color Reset}
"024"	{Blue}Pourquoi on dit « jamais deux sans	trois »? Qu'est-ce qu'il se passe si	on compte jusqu'à 203?{Color Reset}
"025"	{Blue}Si le monde était rempli d'originaux,	est-ce qu'en être un aussi	reviendrait à être banal?{Color Reset}
"026"	{Blue}Les gens les plus heureux ne sont	pas les gens sans souci, mais ceux	qui savent vivre avec.{Color Reset}
"027"	{Blue}Quelqu'un qui offre une trompette à	ton gamin ne cherche pas à	encourager son éducation musicale.{Color Reset}
"028"	{Blue}Est-ce que les souris ont le droit de	tirer la tronche si elles sont de	mauvaise humeur?{Color Reset}
"029"	{Blue}L'été on peut se baigner, et l'hiver	on peut skier. Mais l'automne?	Rien! C'est naze, maaan!{Color Reset}
"030"	{Blue}Certaines personnes aiment les	sensations fortes, mais qui avouera	aimer les sensations faibles?{Color Reset}
"031"	{Blue}Maaan, les vrais génies ne sont pas	ceux qui savent parler, mais ceux	qui savent écouter.{Color Reset}
"032"	{Blue}Pourquoi les diamants ont autant de	valeur, alors que ce sont juste des	vieux bouts de charbon?{Color Reset}
"033"	{Blue}Quand on a une voiture, on doit	payer pour rouler, et payer pour	se garer. Elle est où la logique?{Color Reset}
"034"	{Blue}Comment on fait pour diriger une	montgolfière? On utilise un gros	ventilateur? Un sèche-cheveux?{Color Reset}
"035"	{Blue}Si tu veux faire la paix avec	quelqu'un, assure-toi d'abord qu'il	n'a pas le ventre vide...{Color Reset}
"036"	{Blue}Quand tu vas faire un tour,	est-ce que tu es un touriste?	J'y comprends rien!{Color Reset}
"037"	{Blue}Si la fourrure c'est le mal, alors	presque tous les mammifères sont	des CRIMINELS, maaan!{Color Reset}
"038"	{Blue}Les amis, c'est comme les	mouettes... Nan, attends, je me	goure... Je sais plus, maaan.{Color Reset}
"039"	{Blue}Est-ce qu'une langue étrangère	continue à l'être une fois que tu	a appris à la parler?{Color Reset}
"040"	{Blue}Si les rêves traduisent l'inconscient,	les gens complètement inconscients	ont-ils une vie de rêve?{Color Reset}
"041"	{Blue}Il paraît que plus difficile est le	chemin, plus grande est la	récompense...	Maaan, c'est quand la remise des	prix?{Color Reset}
"042"	{Blue}Si on trouve ce qu'on cherche là où	on s'y attend le moins. Pourquoi on	commence jamais par là?{Color Reset}
"043"	{Blue}Tu savais que les couleurs, c'est	rien que des rayons de lumière	reflétés par ce qui nous entoure?{Color Reset}
"044"	{Blue}Si on inversait le ciel et la terre,	est-ce que ce serait nous qu'on	appellerait « les oiseaux »?{Color Reset}
"045"	{Blue}Ça serait pas tragique pour une	sardine d'utiliser l'expression :	« Ça baigne dans l'huile »?{Color Reset}
"046"	{Blue}Si le singulier de « chevaux » est	« cheval », pourquoi le singulier de	« cheveux » n'est pas « chevel »?{Color Reset}
"047"	{Blue}Maaan, les gens qui te demandent	comment tu vas, en fait c'est eux	qui veulent te raconter leur vie!{Color Reset}
"048"	{Blue}Si les océans sont juste de grosses	mares, pourquoi on n'y trouve pas	de canards, maaan?{Color Reset}
"049"	{Blue}Est-ce que les bateaux flottent	vraiment, ou c'est juste l'eau qui les	repousse?{Color Reset}
"050"	{Blue}La vie c'est comme une pomme.	Alors suis mon conseil et croque-la	à pleines dents.{Color Reset}
"051"	{Blue}Un pêcheur qui s'appelle Martin,	est-ce qu'il se sent pousser des	ailes? Je veux savoir!{Color Reset}
"052"	{Blue}Pourquoi on trouve des	poissons-chats, mais pas de chats-	poissons? Le monde est mal fait.{Color Reset}
"053"	{Blue}Si tu donnes ta langue au chat à	quelqu'un qui n'a pas de chat, tu te	fais avoir, maaan.{Color Reset}
"054"	{Blue}Si les oiseaux font « cui cui », quel	animal fait « cru cru »? Ooh, j'en	ai la tête qui tourne!{Color Reset}
"055"	{Blue}Comment on sait ce que portent les	ninjas s'ils sont censés être	invisibles? Trop le mystère, maaan.{Color Reset}
"056"	{Blue}Man, c'est trop le squat d'être une	araignée. Elle s'incruste chez toi,	et elle paye même pas de loyer.{Color Reset}
"057"	{Blue}Maaan, les bateaux à voile qui ont	un moteur, c'est quand même trop	de la triche.{Color Reset}
"058"	{Blue}Un cuisinier qui brûle toujours tous	ses plats peut-il aussi rater ses	crèmes brûlées?{Color Reset}
"059"	{Blue}La lune, faite de fromage?	N'importe quoi, vu sa couleur, ce	serait du fromage moisi, ouais!{Color Reset}
"060"	{Blue}Les crabes ne sont rien que des	langoustes rabougries et ratatinées.	J'espère qu'ils s'en rendent compte.{Color Reset}
"061"	{Blue}Peut-on continuer à faire confiance	à un homme de parole s'il devient	aphone?{Color Reset}
"062"	{Blue}Si le tonnerre est le son produit par	un éclair, pourquoi on ne l'appelle	pas simplement « kaboum »?{Color Reset}
"063"	{Blue}Comment les cabines téléphoniques	survivent-elles maintenant que tout	le monde a un portable? Louche!{Color Reset}
"064"	{Blue}Personne n'aime les charognards,	alors qu'ils nettoient la nature...	C'est trop injuste, quand même.{Color Reset}
"065"	{Blue}Maaan, pourquoi le jet ski s'appelle	comme ça alors que la mer n'est	pas en pente?{Color Reset}
"066"	{Blue}Les barbares sont-ils des barbiers	qui ont mal tourné? Je comprends	pas...{Color Reset}
"067"	{Blue}Si le pluriel de « cheval » est	« chevaux », pourquoi le pluriel de	« serval » n'est-il pas « cervaux »?{Color Reset}
"068"	{Blue}Maaan, les singes-araignées, c'est	vraiment n'importe quoi, ils ont	même pas huit pattes, d'abord!{Color Reset}
"069"	{Blue}Si les oranges ont été nommées	d'après leur couleur, pourquoi c'est	pas pareil pour les bananes? {Blue}Man...{Blue}{Color Reset}
"070"	{Blue}À mon avis, les chauve-souris se	transforment en ours le jour.{0000-0004-0000}
"071"	{Blue}Pourquoi on nait avec deux reins,	mais pas deux cœurs? On en aurait	un de rechange comme ça!{Color Reset}
"072"	{Blue}Si tu gagnes un bras de fer contre	ton père, tu sauras jamais s'il ne	l'a pas fait exprès, maaaan.{Color Reset}
"073"	{Blue}Le courage se définit comme une	cucurbitacée... Ah non, ça c'est une	courge en fait...{Color Reset}
"074"	{Blue}Quand on a les cheveux poivre et	sel, est-ce que c'est grave d'en	laisser tomber dans la soupe?{Color Reset}
"075"	{Blue}Le mot « noix de coco » me fait	toujours rire... Ça doit être une	réaction allergique un peu bizarre...{Color Reset}
"076"	{Blue}Il y a que certains experts qui disent	comprendre l'amour. Et j'te le dis,	maaan... ils ont pas l'air heureux.{Color Reset}
"077"	{Blue}Pourquoi les ascenseurs s'appellent	comme ça alors qu'on peut aussi	s'en servir pour descendre?{Color Reset}
"078"	{Blue}Les mauvaises habitudes, c'est un	peu comme les chaussettes sales :	on ne les montre pas en public.{Color Reset}
"079"	{Blue}Pourquoi les gens n'ont pas des	ailes et un bec? Bon, ils seraient	des oiseaux, mais ce serait génial!{Color Reset}
"080"	{Blue}Maaan, les algues me flanquent la	trouille... on devrait les appeler	des « alguators »!{Color Reset}
"081"	{Blue}Les vacances c'est souvent plus	crevant que le boulot... Comment on	fait pour se reposer après?{Color Reset}
"082"	{Blue}Quitte à choisir, je dirais qu'il	vaut mieux être croquant qu'être	croqué. Question de bon sens, man.{Color Reset}
"083"	{Blue}Maaan, un jour je voulais prendre	des vacances au chaud, dans le Sud,	et on m'a conseillé le pôle Sud...{Color Reset}
"084"	{Blue}Maaan, tu savais que si tu te retiens	d'éternuer, ton cerveau peut te	sortir par les OREILLES?!{Color Reset}
"085"	{Blue}Si tu veux te débarrasser d'un truc,	dis à tes amis que tu veux le vendre,	puis propose de leur offrir.{Color Reset}
"086"	{Blue}Si les chats noirs portent malheur,	est-ce que les chiens blancs	portent chance?{Color Reset}
"087"	{Blue}À quoi ça sert les olives, maaan?	Paraît que ça se mange, mais j'ai	toujours voulu jouer au golf avec...{Color Reset}
"088"	{Blue}L'océan recouvre une grande partie	de la planète, mais il ne nous a pas	livré tous ses mystères, maaan.{Color Reset}
"089"	{Blue}Si tu finis deuxième sur trois dans	une compétition, tu fais partie des	gagnants ou des perdants?{Color Reset}
"090"	{Blue}Les pieuvres ressemblent carrément	aux calmars. Mais personne sait qui	a copié qui dans l'histoire!{Color Reset}
"091"	{Blue}Tu savais que les diamants ne sont	que des bouts de carbone? Comme	la mine des crayons de papier?{Color Reset}
"092"	{Blue}Il n'y a pas de métier plus difficile	au monde que celui de parent.	Je préfère flotter sur l'eau, maaan!{Color Reset}
"093"	{Blue}Maaan, tu crois que les nuages	cachent des vaisseaux spatiaux?	J'en dors plus la nuit...{Color Reset}
"094"	{Blue}Tu crois qu'à la fin des matchs, les	arbitres emportent la balle chez	eux? Ce serait dément!{Color Reset}
"095"	{Blue}Ceux qui pleurent en s'endormant	doivent-ils rêver de quelque chose	de joyeux pour se réveiller?{Color Reset}
"096"	{Blue}Si l'alunissage était vraiment un	coup monté, alors où était cachée la	navette spatiale tout ce temps?{Color Reset}
"097"	{Blue}Un de mes amis avait tellement peur	de ne pas réaliser ses rêves qu'il a	décidé d'arrêter de rêver, maaan.{Color Reset}
"098"	{Blue}Pourquoi personne ne se sert de	l'airbag des voitures comme d'un	oreiller? Ce serait plus sympa!{Color Reset}
"099"	{Blue}Qu'est-ce qui est naturel, maaan?	Rien! Même le mot « naturel » a	été inventé un jour!{Color Reset}
"100"	{Blue}Maaan, comment on peut être sûr	qu'un caméléon qui dit avoir la	jaunisse ne ment pas?{Color Reset}
"101"	{Blue}T'as déjà essayé les frites avec du	beurre de cacahuètes? Cette idée	mériterait bien un prix!{Color Reset}
"102"	{Blue}Maaan, les gens détestent la pluie,	mais ils détestent aussi la	sécheresse... Faudrait savoir, quoi!{Color Reset}
"103"	{Blue}Si tu donnes un poisson à un	homme, il le mangera. Donne-le à	une loutre, et elle l'ENGLOUTIRA!{Color Reset}
"104"	{Blue}Et si les projections de diapos	étaient des films super lents?	Maaan, une aspirine, vite!{Color Reset}
"105"	{Blue}Ne demande jamais à un	hippopotame de te garder ta place,	il en profitera juste pour s'étaler.{Color Reset}
"106"	{Blue}Maaan, il y a des poivrons rouges,	oranges et verts... Ils poussent dans	les feux de circulation ou quoi?{Color Reset}
"107"	{Blue}Tous les crapauds sont des	grenouilles, mais pas l'inverse... Il y	a une erreur de conversion?{Color Reset}
"108"	{Blue}Quand on ne peut pas dormir à	cause du stress, mais qu'on stresse	d'être insomniaque, que faire?{Color Reset}
"109"	{Blue}Le camping c'est trop fatigant,	maaan... Autant planter sa tente	dans son garage!{Color Reset}
"110"	{Blue}Si le centre de la Terre est aussi	chaud qu'il paraît, pourquoi on peut	pas faire cuire ses œufs sur le sol?{Color Reset}
"111"	{Blue}On m'a dit que la pluie, c'était juste	les lutins des nuages qui arrosent	leurs plantes. Moi j'y crois!{Color Reset}
"112"	{Blue}Le destin n'obéit à aucune règle.	Pourtant, c'est fou le nombre de	gens qui veulent le forcer!{Color Reset}
"113"	{Blue}Tu as déjà vu un marchand de	glaces en rupture de stock?	Jamais! Comment ils font?{Color Reset}
"114"	{Blue}Tu as déjà essayé de jouer de	l'accordéon en sautant en	parachute? C'est hyper facile!{Color Reset}
"115"	{Blue}Pour que tout baigne, mange un	beignet, maaan.{Color Reset}
"116"	{Blue}La plongée sous-marine, ça revient	juste à flotter SOUS l'eau. C'est	ridicule, maaan.{Color Reset}
"117"	{Blue}Une route inconnue ne l'est que la	première fois qu'on l'emprunte,	maaan.{Color Reset}
"118"	{Blue}C'est normal de prêter ses affaires	aux amis, mais maaan, ne prête	jamais ce que tu tiens à revoir.{Color Reset}
"119"	{Blue}On ne coupe jamais un gâteau	d'anniversaire avant d'avoir soufflé	les bougies, maaan!{Color Reset}
"120"	{Blue}Tu te rappelles que les téléphones	servaient à téléphoner? Maintenant,	ils savent tout faire, sauf le café!{Color Reset}
"121"	{Blue}Quand on ne sait rien, on n'oublie	rien, maaan.{Color Reset}
"122"	{Blue}Si un pourboire est un petit	supplément, qu'est-ce qu'un	pourmanger? Un gros supplément?{Color Reset}
"123"	{Blue}Qui dit que les nuages ne sont pas	envoyés par le gouvernement pour	nous espionner? J'y crois, maaan!{Color Reset}
"124"	{Blue}Est-ce qu'il existe un documentaire	sur l'histoire des documentaires?	Ce serait une révolution!{Color Reset}
"125"	{Blue}Est-ce qu'on peut faire baisser la	fièvre avec un film qui glace les	sangs?{Color Reset}
"126"	{Blue}Un jour, j'ai vu un éléphant sauter	dans une piscine. Et je te dis,	maaan, après ça, y avait plus d'eau.{Color Reset}
"127"	{Blue}Quelle idée de nommer un vêtement	« salopette »... On dirait un gros	mot.{Color Reset}
"128"	{Blue}Le tapioca, on a beau me dire que	c'est du manioc, pour moi ça reste	mystère et boule de gomme!{Color Reset}
"129"	{Blue}Les stars d'un jour sont juste des	personnes assez généreuses pour	laisser la place aux suivants, maaan.{Color Reset}
"130"	{Blue}Tu as remarqué que c'est toujours	quand on prend un bain que	le téléphone sonne, maaan?{Color Reset}
"131"	{Blue}Tu as déjà regardé un insecte au	microscope? Ne le fais jamais,	maaan, t'en aurais des cauchemars!{Color Reset}
"132"	{Blue}À bien y réfléchir, on est comme les	flocons de neige, tous pareil de loin,	mais tous différents de près.{Color Reset}
"133"	{Blue}L'herbe est toujours plus verte chez	le voisin, sauf s'il n'arrose jamais	son jardin!{Color Reset}
"134"	{Blue}Maaan, si tu vois un bouton rouge,	n'appuie jamais dessus, JAMAIS!	Surtout s'il est sur ton nez!{Color Reset}
"135"	{Blue}Maaan, jusqu'à récemment, je	croyais que tous les chevaux de	course s'appelaient « casaque »...{Color Reset}
"136"	{Blue}Même si les araignées étaient de la	taille d'un cheval, JAMAIS je ne	monterais dessus, maaan!{Color Reset}
"137"	{Blue}Si les lions de mers sont des lions	qui ont appris à nager, alors la	plongée, c'est fini pour moi!{Color Reset}
"138"	{Blue}Est-ce que quelqu'un qui en a gros	sur le cœur est obligé de changer	de taille de t-shirt?{Color Reset}
"139"	{Blue}Maaan, à quoi ça sert de construire	des voitures de plus en plus	rapides?{0000-0004-0000}!
"140"	{Blue}La vengeance, c'est comme un	gaspacho... C'est un plat qui se	mange froid.{Color Reset}
"141"	{Blue}Les parents disent toujours qu'il	ne faut pas manger ce qu'on	trouve par terre...	... et ensuite ils s'étonnent que les	enfants refusent de manger leurs	légumes.{Color Reset}
"142"	{Blue}Un type avec des lunettes est	parfois surnommé « bigleux ». Et un	type avec une canne, « caneleux »?{Color Reset}
"143"	{Blue}Maaan, c'est quoi la différence	entre la lumière noire et	l'obscurité?{Color Reset}
"144"	{Blue}Sur les stands des poissonniers,	la raie est-elle toujours au milieu?{Color Reset}
"145"	{Blue}Si t'es un superhéros, dis-le à tout	le monde. Personne te croira, et	tu resteras incognito.{Color Reset}
"146"	{Blue}Seuls ceux qui pensent être au	centre du monde disent voyager	au bout de la Terre, maaan.{Color Reset}
"147"	{Blue}Si tu adoptes une plante carnivore,	{Blue}man, {Blue}ne la mets pas sur ta table de	chevet si tu tiens à tes doigts.{Color Reset}
"148"	{Blue}S'excuser quand on est dans le tort	ne coûte jamais rien, maaan.{Color Reset}
"149"	{Blue}Il paraît qu'une prison va être	construite sur la lune, mais tout le	monde va vouloir y aller, non?{Color Reset}
"150"	{Blue}Pourquoi les avions n'ont-ils pas de	plumes? Et les bateaux des	nageoires? Ce serait LOGIQUE!{Color Reset}
"151"	{Blue}Quand tu oublies souvent tes clés,	pense à laisser une fenêtre ouverte	avant de partir, maaan!{Color Reset}
"152"	{Blue}Tu as déjà nagé avec les dauphins?	Ça doit être une expérience	incroyable, maaan.{Color Reset}
"153"	{Blue}Nager, c'est comme voler, sauf que	l'altitude est beaucoup plus basse	et qu'on ne peut pas respirer.{Color Reset}
"154"	{Blue}Si tu as neuf pommes, et que je t'en	prends trois, combien de temps tu	seras en colère contre moi?{Color Reset}
"155"	{Blue}Maaan, si les gens se rendaient	compte qu'on peut dormir sur	tout et appeler ça son lit...	... les magasins de meubles	feraient faillite!{Color Reset}
"156"	{Blue}Une loutre ne fait pas le torrent,	maaan!{Color Reset}
"157"	{Blue}Un chien deviendra instantanément	ton meilleur ami si ton parfum a une	odeur d'os à moelle.{Color Reset}
"158"	{Blue}Si je débarquais à l'improviste dans	une ville, est-ce que j'en deviendrais	le maire, comme ça, pouf?{Color Reset}
"159"	{Blue}Les hippocampes ont beau avoir	l'air sympa, jamais ils te laisseront	faire un tour sur leur dos!{Color Reset}
"160"	{Blue}Si je pouvais teindre ma fourrure	couleur « rivière », je serais le ninja	des cours d'eau!{Color Reset}
"161"	{Blue}Qui enterre toutes ses clochettes	dans son jardin fait drôlement	confiance aux taupes, man.{Color Reset}
"162"	{Blue}Peut-être que tu as déjà rencontré	{Blue}{000e-0006-0028-12-00-74-00-6f-00-6e-00-20-00-66-00-75-00-74-00-75-00-72-00-12-00-74-00-61-00-20-00-66-00-75-00-74-00-75-00-72-00-65-00}{Blue} toi, mais que vous ne vous	êtes pas {Blue}{000e-0006-0026-10-00-72-00-65-00-63-00-6f-00-6e-00-6e-00-75-00-73-00-12-00-72-00-65-00-63-00-6f-00-6e-00-6e-00-75-00-65-00-73-00}{Blue}, maaan.{Color Reset}
"163"	{Blue}Les instituteurs sont un peu les	gardiens de notre cerveau à l'école,	maaan... Et ils ont de quoi faire!{Color Reset}
"164"	{Blue}Tu crois que les kangourous portent	des sacs kangourous, et les bananes,	des sacs bananes? C'est ouf, man!{Color Reset}
"165"	{Blue}Il paraît que la nourriture des	cafétérias est fabriquée à partir de	déchets radioactifs... C'est vrai?{Color Reset}
"166"	{Blue}Un éléphant qui éternue génère au	moins trois litres de liquide, maaan!	Vaut mieux rester à distance!{Color Reset}
"167"	{Blue}Tu as déjà rêvé que tu te retrouvais	dehors en slip... avant de réaliser	que ce n'était pas un rêve?{Color Reset}
"168"	{Blue}J'ai déjà essayé de faire cuire un	œuf sur ma tête en pensant	intensément... Ça a marché!{Color Reset}
"169"	{Blue}Si les yeux sont le miroir de l'âme,	maaan, alors pourquoi on ne voit	pas son âme dans le miroir?{Color Reset}
"170"	{Blue}Qu'est-ce qui différencie les poils	des cheveux, maaan? J'arrive pas à	faire la différence sur moi...{Color Reset}
"171"	{Blue}Les oiseaux domestiques vivent	dans des cages, mais sont nourris	tous les jours...	Maaan, tu parles d'un dilemme.{Color Reset}
"172"	{Blue}Parfois, on est horrifié de découvrir	le son de sa propre voix... Si tu	entendais la tienne, maaan...{Color Reset}
